Cross-validation output:

classifier	accuracy		precision(0)		precision(4)		recall(0)		recall(4)

smo		0.5727272727272728	0.5872727272727273	0.5581818181818182	0.5706713780918727	0.5749063670411985
smo		0.5772727272727273	0.5963636363636363	0.5581818181818182	0.574430823117338	  0.5803402646502835
smo		0.6072727272727273	0.6054545454545455	0.6090909090909091	0.6076642335766423	0.6068840579710145
smo		0.6045454545454545	0.5963636363636363	0.6127272727272727	0.6062846580406654	0.6028622540250447
smo		0.6018181818181818	0.6054545454545455	0.5981818181818181	0.6010830324909747	0.6025641025641025
smo		0.6054545454545455	0.5672727272727273	0.6436363636363637	0.6141732283464567	0.597972972972973
smo		0.5945454545454546	0.5836363636363636	0.6054545454545455	0.5966542750929368	0.5925266903914591
smo		0.5600000000000000	0.5472727272727272	0.5727272727272728	0.5615671641791045	0.5585106382978723
smo		0.5972727272727273	0.5854545454545454	0.6090909090909091	0.5996275605214153	0.5950266429840142
smo		0.5981818181818181	0.6247723132969034	0.5737704918032787	0.5944540727902946	0.6046065259117083

bayes		0.5645454545454546	0.5454545454545454	0.5836363636363636	0.5671077504725898	0.5621716287215411
bayes		0.5654545454545454	0.5218181818181818	0.6090909090909091	0.5717131474103586	0.560200668896321
bayes		0.5918181818181818	0.5418181818181819	0.6418181818181818	0.602020202020202	  0.5834710743801653
bayes		0.5890909090909091	0.5418181818181819	0.6363636363636364	0.5983935742971888	0.5813953488372093
bayes		0.5872727272727273	0.5254545454545455	0.649090909090909	  0.5995850622406639	0.5776699029126213
bayes		0.5881818181818181	0.4945454545454545	0.6818181818181818	0.6085011185682326	0.5742725880551302
bayes		0.5927272727272728	0.5181818181818182	0.6672727272727272	0.6089743589743589	0.5806962025316456
bayes		0.5700000000000000	0.5327272727272727	0.6072727272727273	0.5756385068762279	0.5651438240270727
bayes		0.5472727272727272	0.5000000000000000	0.5945454545454546	0.5522088353413654	0.5431893687707641
bayes		0.5827272727272728	0.6083788706739527	0.5591985428051002	0.5798611111111112	0.5881226053639846

tree		0.5618181818181818	0.5690909090909091	0.5545454545454546	0.5609318996415771	0.5627306273062731
tree		0.5500000000000000	0.5509090909090909	0.5490909090909091	0.5499092558983666	0.5500910746812386
tree		0.5709090909090909	0.5963636363636363	0.5454545454545454	0.5674740484429066	0.5747126436781609
tree		0.5890909090909091	0.5327272727272727	0.6454545454545455	0.6004098360655737	0.5800653594771242
tree		0.5545454545454546	0.5600000000000000	0.5490909090909091	0.5539568345323741	0.5551470588235294
tree		0.5627272727272727	0.5763636363636364	0.5490909090909091	0.5610619469026549	0.5644859813084112
tree		0.5863636363636363	0.5563636363636364	0.6163636363636363	0.5918762088974855	0.58147512864494
tree		0.5709090909090909	0.5581818181818182	0.5836363636363636	0.5727611940298507	0.5691489361702128
tree		0.570000000000000		0.5890909090909091	0.5509090909090909	0.5674255691768827	0.5727788279773157
tree		0.5590909090909091	0.5610200364298725	0.5591985428051002	0.5600000000000000	0.5602189781021898

p-value for SMO and Bayes: 0.017178639693150283
p-value for Tree and Bayes: 0.078000880461071356
p-value for SMO and Tree: 0.0022544117429553054

Observation:

Choosen alpha = 0.01 as the significance value, we concluded that classifiers SVM and Decision tree are significantly different than each other.
